2023-02-08 17:17:45,766 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 5... current info is hori_success:5, verti_success:5, norm_success5
2023-02-08 17:17:45,867 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 6... current info is hori_success:6, verti_success:6, norm_success6
2023-02-08 17:17:45,986 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 7... current info is hori_success:7, verti_success:7, norm_success7
2023-02-08 17:17:46,083 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 8... current info is hori_success:8, verti_success:8, norm_success8
2023-02-08 17:17:46,181 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.15, 5, 9... current info is hori_success:9, verti_success:9, norm_success9
2023-02-08 17:17:46,276 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:17:46,372 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 1... current info is hori_success:0, verti_success:1, norm_success1
2023-02-08 17:17:46,470 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 2... current info is hori_success:1, verti_success:2, norm_success2
2023-02-08 17:17:46,575 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 3... current info is hori_success:1, verti_success:3, norm_success3
2023-02-08 17:17:46,694 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 4... current info is hori_success:1, verti_success:4, norm_success4
2023-02-08 17:17:46,803 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 5... current info is hori_success:2, verti_success:5, norm_success5
2023-02-08 17:17:46,903 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 6... current info is hori_success:3, verti_success:6, norm_success6
2023-02-08 17:17:46,998 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 7... current info is hori_success:3, verti_success:7, norm_success7
2023-02-08 17:17:47,095 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 8... current info is hori_success:3, verti_success:8, norm_success8
2023-02-08 17:17:47,194 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 3, 9... current info is hori_success:4, verti_success:9, norm_success9
2023-02-08 17:17:47,289 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 4, 0... current info is hori_success:0, verti_success:0, norm_success0
2023-02-08 17:17:47,385 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 4, 1... current info is hori_success:1, verti_success:1, norm_success1
2023-02-08 17:17:47,484 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 4, 2... current info is hori_success:1, verti_success:2, norm_success2
2023-02-08 17:17:47,583 - FibCodeLogs_2023-02-08 17:17:41.937275 - INFO - Running 0 run...8, 0.2, 4, 3... current info is hori_success:1, verti_success:3, norm_success3
